Symbol,Name,Rank,Price (USD),Percent Change (24h),Percent Change (1h),Percent Change (7 days),Price (Bitcoin),Market Cap (USD),Trading Volume (24h),Adjusted Volume (24h),Circulating Supply,Total Supply
BTC,Bitcoin,1,83714.67,-1.98,0.01,-0.19,1.00,1661105111817.30,25843654945.95432,25969413297.78054,19842462.00,19842462
ETH,Ethereum,2,1880.26,-1.83,0.08,-4.73,0.022459,226521042282.39,11373781284.609913,12111621658.128668,120473321.00,122375302
USDT,Tether,3,1.01,0.43,-0.16,0.19,0.000012,140086894935.40,47489028743.35695,50451904892.98593,139329876218.00,141572991338.46
XRP,XRP,4,2.12,-5.09,0.02,-11.35,0.000025,122429487358.83,3085800186.1189923,2513272419.610553,57641211234.00,99986586496
BNB,Binance Coin,5,607.75,-3.61,0.35,-4.13,0.007259,101373330941.67,853622007.7425312,1522510156.6867933,166801148.00,192443301
SOL,Solana,6,126.58,-4.51,-0.06,-1.08,0.001512,61594383773.85,2378139009.045222,2672751259.1932135,486606871.00,491561409.22682
USDC,USD Coin,7,1.00,0.01,0.01,0.01,0.000012,52209932281.94,7362282212.615964,7942185146.734477,52188007940.00,52188007940.709
DOGE,Dogecoin,8,0.174491,-4.46,-0.48,3.75,0.000002,25928640803.55,1067266889.1422838,1143533121.903922,148595736384.00,148595736384
ADA,Cardano,9,0.682102,-3.23,-0.58,-3.95,0.000008,23996508160.54,485621599.5376473,522199457.5521818,35180226133.00,35983607755.528
TRX,TRON,10,0.233623,1.59,-0.12,-1.35,0.000003,20123132272.19,733153749.3881803,782976840.009441,86134911300.00,100000000000
STETH,Staked Ether,11,1880.47,-1.79,0.10,-4.69,0.022462,17338342483.45,10077107.665881306,17990100.464415964,9220200.00,9561243
WBTC,Wrapped Bitcoin,12,83629.90,-2.05,-0.02,-0.16,0.998945,11082132953.71,113164026.66959892,173932487.49912202,132514.00,132514.77886692
TON,TON Coin,13,3.72,-7.74,0.93,2.6,0.000044,9456658317.68,243618462.93043146,370540587.754534,2539507711.00,5047558528
LEO,UNUS SED LEO,14,9.68,-0.59,0.18,-1.15,0.000116,8949349007.73,8798799.06947949,9830840.9162652,924240811.00,985239504
LINK,ChainLink,15,13.95,-3.86,-0.08,-0.36,0.000167,8902900318.95,224291083.9546352,276551448.7734496,638099970.00,1000000000
XLM,Stellar,16,0.267680,-3.22,-0.60,-3.9,0.000003,8239336217.51,119836341.2740983,163338056.98159868,30780493639.00,104303927518
AVAX,Avalanche,17,19.89,-4.24,-0.72,5.16,0.000238,8186019045.57,191589895.49796256,192179882.75959304,411588573.00,449924873.17709
CNX,Cryptonex,18,42.73,-1.93,0.12,-0.06,0.000510,8074950811.86,5228251.190295069,5821320.846999999,188997901.00,188997901
SHIB,Shiba Inu,19,0.000013,-3.19,-0.24,2.03,1.54E-10,7578299205.10,31433623.5336611,29570365.415123485,589255151920720.00,5.8950837397825E+14
SUI,Sui,20,2.44,-6.32,-0.96,7.25,0.000029,7348716257.36,743388532.1663421,1077675840.096027,3009569341.00,10000000000
HBAR,Hedera Hashgraph,21,0.174927,-5.03,-0.73,-6.05,0.000002,6694038118.94,142939568.9127627,148472191.93044394,38267523240.00,50000000000
BGB,Bitget Token,22,4.66,-3.57,-0.19,1.05,0.000056,6528395243.78,126793465.35233688,140088632.661003,1400001000.00,2000000000
LTC,Litecoin,23,86.25,-2.84,0.14,-6.98,0.001030,6508775483.30,712745413.9772148,730726986.9871577,75462162.00,84000000
WETH,WETH,24,1882.11,-1.86,-0.09,-4.41,0.022481,6352720656.58,28670551.180279046,28904631.494240105,3375317.00,3375317.5926469
BCH,Bitcoin Cash,25,307.05,-2.57,0.11,-6.5,0.003668,6094233009.97,206491263.05312335,244510398.64807442,19847581.00,19847581
DOT,Polkadot,26,4.14,-4.17,-0.39,-8.87,0.000049,5778336912.77,142551308.6339725,168857657.27840233,1394562713.00,1475513198.5764
DAI,Dai,27,1.00,0.00,0.00,-0.04,0.000012,5365891790.31,105187006.26093796,105567992.05072059,5365382702.00,5365382702.6649
OM,MANTRA DAO,28,6.21,-3.09,-0.26,-1.49,0.000074,5200362799.55,42489502.29193328,47172581.2660979,837536163.00,888888888
sUSDe,Ethena Staked USDe,29,1.16,0.37,0.02,0.07,0.000014,4257875536.83,951653.6911010186,4484220.559045927,3663008088.00,3663008088.3412
XMR,Monero,30,217.31,-2.31,0.02,2.0,0.002596,4008662644.30,54544293.90210768,59117228.05819932,18446744.00,18446744.07371
WBETH,Wrapped Beacon ETH,31,2000.91,-1.98,0.04,-4.8,0.023900,3740942937.44,9535432.690942748,3082272.504292947,1869624.00,1869624.9598632
UNI,Uniswap,32,6.13,-4.54,-0.13,-9.54,0.000073,3680633743.26,97780182.67349754,85115524.93204185,600483073.00,1000000000
PEPE,Pepe,33,0.000008,-4.93,-0.24,4.09,9.03E-11,3180221357.43,9057953.96005251,8788963.74243409,420689899999990.00,420689899999994
NEAR,NEAR Protocol,34,2.67,-5.09,-0.53,-1.73,0.000032,3147845098.08,132966961.0313075,150147274.9652933,1176800850.00,1176800850
APT,Aptos,35,5.48,-2.29,-0.09,-2.94,0.000065,3138044856.13,91589810.83554937,78950360.52787986,572963346.00,1137599205.7185
